timestamp,die,total_faces,face,total_rolls,simulated_pct,expected_pct,delta_pct,chi2,balance,anomaly_flag
2026-08-05 18:59:18,D100,100,47,999235,0.9992,1.0,-0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,48,999071,0.9991,1.0,-0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,49,1000951,1.001,1.0,0.001,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,50,999004,0.999,1.0,-0.001,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,51,1001210,1.0012,1.0,0.0012,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,52,1000285,1.0003,1.0,0.0003,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,53,1000619,1.0006,1.0,0.0006,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,54,999974,1.0,1.0,-0.0,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,55,1000331,1.0003,1.0,0.0003,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,56,1000760,1.0008,1.0,0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,57,1001390,1.0014,1.0,0.0014,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,58,997678,0.9977,1.0,-0.0023,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,59,999246,0.9992,1.0,-0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,60,1000830,1.0008,1.0,0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,61,1001508,1.0015,1.0,0.0015,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,62,997932,0.9979,1.0,-0.0021,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,63,1000871,1.0009,1.0,0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,64,999538,0.9995,1.0,-0.0005,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,65,1000430,1.0004,1.0,0.0004,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,66,999858,0.9999,1.0,-0.0001,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,67,1002189,1.0022,1.0,0.0022,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,68,1001245,1.0012,1.0,0.0012,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,69,999847,0.9998,1.0,-0.0002,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,70,1000053,1.0001,1.0,0.0001,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,71,999756,0.9998,1.0,-0.0002,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,72,999274,0.9993,1.0,-0.0007,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,73,1000290,1.0003,1.0,0.0003,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,74,999516,0.9995,1.0,-0.0005,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,75,1000567,1.0006,1.0,0.0006,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,76,999987,1.0,1.0,-0.0,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,77,1000295,1.0003,1.0,0.0003,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,78,1000697,1.0007,1.0,0.0007,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,79,1000397,1.0004,1.0,0.0004,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,80,1000425,1.0004,1.0,0.0004,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,81,1000757,1.0008,1.0,0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,82,1000195,1.0002,1.0,0.0002,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,83,999478,0.9995,1.0,-0.0005,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,84,1000338,1.0003,1.0,0.0003,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,85,999581,0.9996,1.0,-0.0004,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,86,999198,0.9992,1.0,-0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,87,1000866,1.0009,1.0,0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,88,1000809,1.0008,1.0,0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,89,997339,0.9973,1.0,-0.0027,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,90,999104,0.9991,1.0,-0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,91,999103,0.9991,1.0,-0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,92,1000704,1.0007,1.0,0.0007,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,93,999760,0.9998,1.0,-0.0002,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,94,999127,0.9991,1.0,-0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,95,1000321,1.0003,1.0,0.0003,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,96,1001591,1.0016,1.0,0.0016,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,97,1000322,1.0003,1.0,0.0003,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,98,999460,0.9995,1.0,-0.0005,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,99,1000849,1.0008,1.0,0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,100,999706,0.9997,1.0,-0.0003,0.0001,BALANCED,NO
